Genes	Spore	Ger	Brch	Myc	Oidia	Scl	Knot	Pri	YFB
CC2G_011849	9.49699609449058	7.77181844990448	7.79705135688478	7.62696527294049	7.73687869185665	8.51827899221741	7.82013679671072	7.88225966725781	8.81695471377233
CC2G_011850	9.17743767504079	5.42321172544748	4.55194594668688	4.78214464156742	4.84731783467302	4.83451824154036	4.96738812539333	5.32351525684272	4.73384860457068
CC2G_011851	6.16917679633711	4.56012490072496	4.86269757243723	4.85897597614904	5.07238340121076	4.04610522422804	4.34341991101146	5.2426826529716	3.68943037441612
CC2G_011852	4.89050041496192	5.51930433899016	6.54894174378598	6.9296433045068	6.98210362188657	7.16158012273504	6.8227619150725	6.53506932654068	5.2277498339526
CC2G_011853	2.43610896732672	3.50858836430757	5.47188529855184	4.52165308751331	5.05748167955365	3.86473699974344	3.577010436985	5.03901195675984	2.73349191918241
CC2G_011860	0	0	0	0	0	0	0	0	1.63581792208921
CC2G_011854	6.42005989360793	5.70683660423736	6.82631772492206	5.95774471512465	6.06504397614283	5.64987927039007	5.51536031902437	6.23098563177318	5.95023257701398
CC2G_011855	7.04539687229229	5.92719551423295	6.3571971600398	5.39015541956622	5.56204184628011	4.67761626269145	5.2612913222049	5.83847594363179	4.5320382376645
CC2G_011856	8.0165185662905	7.22239213084021	7.10879437799136	6.95395783360632	6.99068140341936	7.36903217458962	6.85878436691265	6.96795203592293	6.2729765973155
CC2G_011857	6.9239189029836	6.42669164502703	6.39927591756029	5.84847892409981	6.1254614497867	6.51670864153285	6.28089072461886	6.39005022453808	8.2878756391088
CC2G_011858	1.87246802352367	5.1216543950048	5.09638610224792	5.26702670062206	5.57963009944954	5.73108449917176	5.11035901721037	5.76461408393701	5.76026133340593
CC2G_011859	0	4.29458744207416	2.83542883234604	4.18125797366781	3.99714675090768	3.95851590172891	4.47293536793822	2.57982800173264	2.61622186097473
CC2G_011866	1.18469746111095	3.02529409006979	2.22504991429072	3.91892097557654	4.01435814981068	3.49860066945072	4.78816662358747	6.54669174691058	6.5224181587607
CC2G_011861	8.09761288800033	5.45900395142513	6.36362250172499	5.67801201290132	5.88587187897848	5.33677282374056	5.5822499681616	5.37468140003385	7.75886581836602
CC2G_011862	8.26811253736757	6.36606300629032	5.42046930038684	3.70025171371919	4.44442946262056	1.77625049026936	2.41628472683149	3.3172004147827	8.79527544463125
CC2G_011863	2.62902181009097	3.7968253172527	1.33882633109525	2.29954397198469	2.36782010607396	0	2.37627188895033	5.19286231529899	10.1502292633019
CC2G_011864	0	0	0	0	0	0	0	0	4.59428736997348
CC2G_011865	8.9145485825746	6.8518987588916	6.62343181021131	7.07578625891189	7.30253648014951	8.3254520470826	8.17636589145454	6.68821010633629	5.30459053771477
CC2G_011875	6.16410232341575	9.65908204599839	7.11928219182014	6.93537927139985	6.47546334541274	7.21249888129053	6.73137338014084	6.23138638454846	7.8720775321132
CC2G_011868	4.83140986599196	4.49635654501256	5.18484928684939	5.2897754002578	5.12301616790107	5.01909564575591	5.67608619912066	6.57224512733956	7.80533588037588
CC2G_011869	4.25257219971215	5.56519734790039	6.40103262137491	6.56931123995946	6.45285819377269	6.10770092708733	6.30465229485554	6.37699233439344	5.12912921795255
CC2G_011870	6.80201658572715	6.87774614000799	7.14768549906712	7.17285156955652	7.21962598511471	8.00841167903126	7.76175836823015	7.39131368485303	6.81666616969852
CC2G_011871	5.19556416427969	8.22591809142952	8.19746671406041	7.75070254251532	7.92736331820552	5.57445477462675	5.67063719058308	7.41729376048503	6.60880084885073
CC2G_011872	6.90119960952961	4.98123612378211	6.02438178702686	5.49161735014273	5.47047173891829	5.69781690762087	5.5715604064781	6.16743867487823	5.99884176518748
CC2G_011873	6.31755885041954	5.99273006587709	6.39494374186381	6.62894238551107	6.62547538556567	6.72338602679545	6.80925560733965	7.13330570465521	6.94025944595987
CC2G_011874	3.39182883383417	3.84513480338873	5.33130248712122	4.79076688060367	4.97079489419626	4.71445010969902	5.17971706904748	5.56037418592896	5.34783909631029
CC2G_011876	6.92488982827952	5.94559451485998	6.48949532195708	6.1260489167734	6.16937230465446	6.67549255791818	6.58051375903987	7.1128573978795	6.8901428961793
CC2G_011877	6.70056174262195	6.32518339030745	6.82585750109508	6.93236430423711	6.85474803982914	6.73388497275459	6.70221808728487	6.79952537262228	7.00092634731489
CC2G_011878	8.3549671063392	6.2595505347411	5.78931765433913	5.08848042510472	5.1184635047447	6.59933761318489	6.08824349783202	4.94973340666582	4.91066804357226
CC2G_011879	8.02619027541581	5.63453978584674	5.75624040823772	5.53768194545408	5.57982480163837	5.46717253850931	5.69536302692531	5.50891266327482	6.32913140671881
CC2G_011880	7.17410855328565	6.99120596534973	7.07227584195782	6.6765671444787	6.82059489488821	6.75773935970542	6.75117747431896	7.17983028332617	6.88459538658165
CC2G_011881	7.06466759153348	9.1194325718741	8.38393277196044	6.69295527264556	6.93152484645982	5.37227090262178	6.4769451235009	6.4277960726716	6.87348854400734
CC2G_011882	7.36912447354986	6.44156632150553	7.19647726887346	6.753286234077	6.76093983864858	6.85354837250065	6.56924077051021	6.78519957400839	7.0011860063882
CC2G_011883	1.52089074498283	1.01255131835509	1.09979571836119	0	0	0	0	0	0
CC2G_011884	5.00453467415996	4.77465743221016	4.40634569529846	5.83410754103684	5.50812137888862	4.8031335556848	5.68401845155302	5.76189771995156	6.87080366839087
CC2G_011885	5.60157146655488	5.09009315783446	5.66171127591575	4.74095868981624	4.83788812484435	5.06169079092761	4.9666240180549	5.06930470629862	4.76583422488264
CC2G_011886	6.8551307117484	6.21511736177978	5.99896824728855	5.92701655866903	6.10357382408186	6.94184268835159	6.45568000414877	6.48876975587067	5.57625770390649
CC2G_011887	6.24640768088782	4.68925305178466	5.38069631493675	4.34948165053937	4.57635954908581	3.44379907695886	4.4972923340502	4.69921150446028	3.27942447141138
