Genes	T0	T1	T2	T3	T4	T5	T6	T12	T16	T24
RO3G_14412	7.1064407535886	4.14019095298632	3.6212154667759	3.08990652426218	2.76102350685471	2.6919853322191	2.79654970870872	4.09172305918196	3.83004362401955	4.95643714872631
RO3G_14413	7.14193181698764	9.09645457610154	8.1829738059796	7.66228268613416	7.48429458648489	7.40849257551568	7.23495173932863	6.76231278513817	6.78707282025909	6.34063554758078
RO3G_14416	6.40408807092734	6.04671508318995	5.73148835141838	5.88280848570316	5.75490716348999	5.48226781845722	5.42601412364054	4.90675876321556	5.43308486330001	5.20954646746589
RO3G_14417	6.24054247532372	6.35783974315862	6.98991101897034	6.99905487256688	6.57929846808088	5.44416604218277	4.747674904003	7.29733231538898	6.81044878865825	8.50729256159596
RO3G_14418	5.98797690987566	3.59711396263553	4.02766917479613	3.75395170415243	3.53284659564851	3.34147119917368	3.66889428735688	5.26049237657829	5.0885810327026	5.2223905944582
RO3G_14421	5.88988327645138	2.02037160438736	1.50374751476263	2.11117004928488	2.91618560640084	3.66735526721489	4.13069300006571	4.23536898359406	4.16682393356818	4.52487488055081
RO3G_14423	6.10269766622865	5.93250161047473	6.06108560025202	5.74781028936967	5.57283576249224	5.32007343253382	5.33422729298012	4.9277167674916	4.48097813823063	4.23257176769112
RO3G_14424	2.17197104370101	4.41474913262761	4.39109624985405	4.49304209843857	4.60059864652981	4.76945549913866	4.8873617095697	4.1771518505606	4.67632075102038	3.94015525852518
RO3G_14419	9.19316003681157	9.80608349681008	9.32820890489155	9.26426643273209	9.17165521072593	9.12151608913216	8.82244191707417	8.40189742311291	8.16212846161784	7.31658424670807
RO3G_14420	3.47530475494337	3.19880211388604	4.76366410055352	5.70668525378113	5.65857625952074	6.17369629994447	6.15805855345687	5.54238827976419	6.50969308955675	6.25963332739178
RO3G_14431	0	0	0	0	0	0	0	0	0	0
RO3G_14432	3.00657687441905	0	0	0	0	0	0	0	0	0
RO3G_14434	1.2561229765201	1.95135711996805	1.81576072012505	0	1.20456253058493	1.35147150855963	1.28791588187239	1.46573293180697	1.82305743487445	2.99137002477342
RO3G_14433	6.6728927474789	8.7997975190143	7.10902391779623	7.1275742830792	6.48135341531923	6.24972166693737	5.74933393958075	4.68576337544523	4.89067737828577	4.43360675044444
RO3G_14441	2.53128815714014	6.84960195816679	7.71318452371554	7.65981129626878	7.24962798078801	7.06660327658357	6.69569834348253	6.03532843864705	5.85299322210552	4.820235727283
